IBOV - Carteira do Dia 31/07/25
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON  ED  NM;476.976.044;0,494;
ABEV3;AMBEV S/A;ON;4.394.835.131;2,795;
ASAI3;ASSAI;ON      NM;1.345.897.506;0,635;
AURE3;AUREN;ON      NM;323.738.747;0,148;
AZZA3;AZZAS 2154;ON      NM;136.643.320;0,243;
B3SA3;B3;ON      NM;5.200.055.464;3,206;
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,036;
BBDC3;BRADESCO;ON      N1;1.469.064.981;0,956;
BBDC4;BRADESCO;PN      N1;5.111.682.020;3,871;
BRAP4;BRADESPAR;PN      N1;250.982.988;0,193;
BBAS3;BRASIL;ON      NM;2.842.613.858;2,735;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,115;
BRAV3;BRAVA;ON      NM;451.311.960;0,439;
BRFS3;BRF SA;ON      NM;832.617.717;0,856;
BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;2,435;
CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,399;
CMIG4;CEMIG;PN      N1;1.858.636.840;0,944;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,251;
CPLE6;COPEL;PNB     N2;1.671.982.390;0,962;
CSAN3;COSAN;ON      NM;1.160.227.510;0,335;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,347;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,406;
CVCB3;CVC BRASIL;ON      NM;450.926.127;0,052;
CYRE3;CYRELA REALT;ON      NM;257.174.951;0,308;
DIRR3;DIRECIONAL;ON      NM;108.541.907;0,207;
ELET3;ELETROBRAS;ON      N1;1.808.652.474;3,338;
ELET6;ELETROBRAS;PNB     N1;268.875.696;0,537;
EMBR3;EMBRAER;ON      NM;734.631.701;2,709;
ENGI11;ENERGISA;UNT     N2;326.175.300;0,729;
ENEV3;ENEVA;ON      NM;1.907.494.195;1,256;
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,504;
EQTL3;EQUATORIAL;ON      NM;1.244.304.866;2,078;
FLRY3;FLEURY;ON      NM;455.988.366;0,321;
GGBR4;GERDAU;PN      N1;1.308.152.318;1,074;
GOAU4;GERDAU MET;PN      N1;623.866.944;0,286;
HAPV3;HAPVIDA;ON  ATZ NM;311.217.208;0,504;
HYPE3;HYPERA;ON      NM;360.057.207;0,453;
IGTI11;IGUATEMI S.A;UNT     N1;198.474.750;0,202;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,181;
ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,431;
ITSA4;ITAUSA;PN      N1;5.856.697.902;2,945;
ITUB4;ITAUUNIBANCO;PN      N1;4.757.320.048;8,068;
KLBN11;KLABIN S/A;UNT     N2;765.785.673;0,692;
RENT3;LOCALIZA;ON      NM;956.264.719;1,646;
LREN3;LOJAS RENNER;ON      NM;1.030.587.204;0,835;
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,125;
POMO4;MARCOPOLO;PN      N2;666.378.439;0,269;
MRFG3;MARFRIG;ON      NM;237.618.211;0,273;
BEEF3;MINERVA;ON      NM;433.214.256;0,108;
MOTV3;MOTIVA SA;ON      NM;991.920.937;0,592;
MRVE3;MRV;ON      NM;375.507.695;0,110;
MULT3;MULTIPLAN;ON      N2;314.311.970;0,387;
NATU3;NATURA;ON      NM;845.713.747;0,374;
PCAR3;P.ACUCAR-CBD;ON      NM;461.260.303;0,081;
PETR3;PETROBRAS;ON      N2;2.820.420.899;4,909;
PETR4;PETROBRAS;PN      N2;4.410.955.873;6,990;
RECV3;PETRORECSA;ON      NM;274.981.010;0,183;
PRIO3;PETRORIO;ON      NM;779.999.989;1,611;
PETZ3;PETZ;ON      NM;295.519.280;0,057;
PSSA3;PORTO SEGURO;ON      NM;182.560.698;0,457;
RADL3;RAIADROGASIL;ON      NM;1.297.567.800;0,850;
RAIZ4;RAIZEN;PN      N2;1.210.756.333;0,084;
RDOR3;REDE D OR;ON      NM;1.145.289.019;1,814;
RAIL3;RUMO S.A.;ON      NM;1.216.914.397;0,977;
SBSP3;SABESP;ON      NM;683.495.706;3,601;
SANB11;SANTANDER BR;UNT;356.586.730;0,459;
STBP3;SANTOS BRP;ON      NM;409.543.219;0,277;
SMTO3;SAO MARTINHO;ON  EJ  NM;128.130.966;0,112;
CSNA3;SID NACIONAL;ON;727.459.637;0,279;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,171;
SMFT3;SMART FIT;ON      NM;328.547.988;0,335;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,592;
TAEE11;TAESA;UNT     N2;218.568.234;0,356;
VIVT3;TELEF BRASIL;ON  EJ;764.884.256;1,152;
TIMS3;TIM;ON  EJ  NM;806.346.600;0,780;
TOTS3;TOTVS;ON      NM;531.531.039;1,125;
UGPA3;ULTRAPAR;ON      NM;1.089.082.981;0,907;
USIM5;USIMINAS;PNA     N1;515.193.199;0,103;
VALE3;VALE;ON  ATZ NM;4.270.903.023;11,120;
VAMO3;VAMOS;ON      NM;485.166.826;0,092;
VBBR3;VIBRA;ON      NM;1.113.939.036;1,173;
VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,151;
WEGE3;WEG;ON  ED  NM;1.482.105.837;2,641;
YDUQ3;YDUQS PART;ON      NM;260.249.057;0,166;
Quantidade Teórica Total;;;91.922.324.640;100,000
Redutor;;;15.433.595,60223638
